txHash,blockNumber,latencyMs,gasUsed,effectiveGasPrice,calldataBytes,status,,,,
0xe8da1cdfba3dd27a5b9d145c68e93f094d8f2546a2b271d7af877128a645723a,9594575,37546,208743,1000010,228,success,,,,
0xf0658c1d2da629d65a0ef0d577372eb28287426b99ccf5dea1756e527971deba,9594581,14499,211483,1000010,228,success,,,,
0x339007df4edd06ed121e1399355aff5f12bf140375c6d5b50dc82d37f923d363,9594583,18975,211447,1000010,228,success,,,,
0xb746786cd208028428502048b2e489c4848aceba517f6f9494e06e6615370fc3,9594586,25883,308324,1000010,36,success,,,,
0x791fbad89e56cec3ac914b0dd739aaa501c06f8a57479498ecf20e448161d5ac,9594588,25392,336636,1000010,36,success,,,,
0x9b67638251fc8b7e5628fffffd371ec252fba90040901879bff7b1d7d089cdf4,9594590,23675,336636,1000010,36,success,,,,
0x9010c215b2c23f1f5d79d2a3993f69f50ffbb99809173912028c43f320972a99,9594596,58217,59897,1000010,100,success,,,,
0x7bf8a697b1b99592926155ca32869529b95c031e3b8a6d0530bc4bf1cfb0b3f9,9594598,24929,42809,1000010,100,success,,,,
0x0306eef71a0fa35d0f2f9bca71d360de455d13bcbc6320ebab8bed816bfdfe17,9594600,22454,38009,1000010,100,success,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Can be seen here https://sepolia.etherscan.io/address/0x1ba94e09c8b1d8f54a43a6eb269c4da10cc111cb,,,,,,,,,,
